
=== PC=0 DETECTED at cycle 4598119562 ===
core_st=0 next_st=1 mmu_st=0 bus_addr=0x80780660
fe_instr=0x00008067

--- Register file ---
  x0  = 0x00000000  x1  = 0x00000000  x2  = 0xc1c81ad0  x3  = 0xc1909498
  x4  = 0xc1c8a440  x5  = 0x74b96130  x6  = 0x00000e38  x7  = 0x000000c1
  x8  = 0x00000000  x9  = 0x00000000  x10 = 0x0000000e  x11 = 0x001fca60
  x12 = 0x00000ff0  x13 = 0xc1c9701e  x14 = 0x00000ff0  x15 = 0x00040000
  x16 = 0xc1c09d80  x17 = 0x00000cc0  x18 = 0x00000000  x19 = 0xc157b4e8
  x20 = 0x00000000  x21 = 0xc0233a88  x22 = 0x00000000  x23 = 0x00000002
  x24 = 0x0000003a  x25 = 0x0024b148  x26 = 0x00000000  x27 = 0x00000000
  x28 = 0x0000ff00  x29 = 0x00000e38  x30 = 0x00ff0000  x31 = 0x00000e39

  [4598097418] pc=0xc0355de8 st=6 next=0 instr=0x010fc833 bus=0x80755de8 ra=0xc035501c
  [4598097423] pc=0xc0355dec st=6 next=0 instr=0x00cf8fb3 bus=0x80755dec ra=0xc035501c
  [4598097428] pc=0xc0355df0 st=6 next=0 instr=0x011fc8b3 bus=0x80755df0 ra=0xc035501c
  [4598097433] pc=0xc0355df4 st=6 next=0 instr=0x00c8dd93 bus=0x80755df4 ra=0xc035501c
  [4598097438] pc=0xc0355df8 st=6 next=0 instr=0x01489893 bus=0x80755df8 ra=0xc035501c
  [4598097443] pc=0xc0355dfc st=6 next=0 instr=0x01b888b3 bus=0x80755dfc ra=0xc035501c
  [4598097448] pc=0xc0355e00 st=6 next=0 instr=0x00785d93 bus=0x80755e00 ra=0xc035501c
  [4598097453] pc=0xc0355e04 st=6 next=0 instr=0x01981813 bus=0x80755e04 ra=0xc035501c
  [4598097458] pc=0xc0355e08 st=6 next=0 instr=0x01b80833 bus=0x80755e08 ra=0xc035501c
  [4598097463] pc=0xc0355e0c st=6 next=0 instr=0x01ea0f33 bus=0x80755e0c ra=0xc035501c
  [4598097468] pc=0xc0355e10 st=6 next=0 instr=0x010f0f33 bus=0x80755e10 ra=0xc035501c
  [4598097473] pc=0xc0355e14 st=6 next=0 instr=0x00df46b3 bus=0x80755e14 ra=0xc035501c
  [4598097480] pc=0xc0355e18 st=6 next=0 instr=0xf4c42483 bus=0x8208183c ra=0xc035501c
  [4598097485] pc=0xc0355e1c st=6 next=0 instr=0x0106dd93 bus=0x80755e1c ra=0xc035501c
  [4598097490] pc=0xc0355e20 st=6 next=0 instr=0x01069693 bus=0x80755e20 ra=0xc035501c
  [4598097495] pc=0xc0355e24 st=6 next=0 instr=0x01b686b3 bus=0x80755e24 ra=0xc035501c
  [4598097500] pc=0xc0355e28 st=6 next=0 instr=0x00a3c533 bus=0x80755e28 ra=0xc035501c
  [4598097505] pc=0xc0355e2c st=6 next=0 instr=0x00d383b3 bus=0x80755e2c ra=0xc035501c
  [4598097510] pc=0xc0355e30 st=6 next=0 instr=0x0103c833 bus=0x80755e30 ra=0xc035501c
  [4598097515] pc=0xc0355e34 st=6 next=0 instr=0x00648333 bus=0x80755e34 ra=0xc035501c
  [4598097522] pc=0xc0355e38 st=6 next=0 instr=0xf7042483 bus=0x82081860 ra=0xc035501c
  [4598097527] pc=0xc0355e3c st=6 next=0 instr=0x00c85d93 bus=0x80755e3c ra=0xc035501c
  [4598097532] pc=0xc0355e40 st=6 next=0 instr=0x01481813 bus=0x80755e40 ra=0xc035501c
  [4598097537] pc=0xc0355e44 st=6 next=0 instr=0x01b80833 bus=0x80755e44 ra=0xc035501c
  [4598097542] pc=0xc0355e48 st=6 next=0 instr=0x01ec8f33 bus=0x80755e48 ra=0xc035501c
  [4598097547] pc=0xc0355e4c st=6 next=0 instr=0x010f0f33 bus=0x80755e4c ra=0xc035501c
  [4598097552] pc=0xc0355e50 st=6 next=0 instr=0x01d48eb3 bus=0x80755e50 ra=0xc035501c
  [4598097557] pc=0xc0355e54 st=6 next=0 instr=0x011e8eb3 bus=0x80755e54 ra=0xc035501c
  [4598097562] pc=0xc0355e58 st=6 next=0 instr=0x00df46b3 bus=0x80755e58 ra=0xc035501c
  [4598097567] pc=0xc0355e5c st=6 next=0 instr=0x00cec633 bus=0x80755e5c ra=0xc035501c
  [4598097572] pc=0xc0355e60 st=6 next=0 instr=0x0086dd93 bus=0x80755e60 ra=0xc035501c
  [4598097577] pc=0xc0355e64 st=6 next=0 instr=0x01da0eb3 bus=0x80755e64 ra=0xc035501c
  [4598097582] pc=0xc0355e68 st=6 next=0 instr=0x01869693 bus=0x80755e68 ra=0xc035501c
  [4598097587] pc=0xc0355e6c st=6 next=0 instr=0x01b686b3 bus=0x80755e6c ra=0xc035501c
  [4598097592] pc=0xc0355e70 st=6 next=0 instr=0x00be8eb3 bus=0x80755e70 ra=0xc035501c
  [4598097597] pc=0xc0355e74 st=6 next=0 instr=0x00d383b3 bus=0x80755e74 ra=0xc035501c
  [4598097602] pc=0xc0355e78 st=6 next=0 instr=0x00dec6b3 bus=0x80755e78 ra=0xc035501c
  [4598097607] pc=0xc0355e7c st=6 next=0 instr=0x0106dd93 bus=0x80755e7c ra=0xc035501c
  [4598097612] pc=0xc0355e80 st=6 next=0 instr=0x01069693 bus=0x80755e80 ra=0xc035501c
  [4598097617] pc=0xc0355e84 st=6 next=0 instr=0x01b686b3 bus=0x80755e84 ra=0xc035501c
